// Replace the old altSD01.dat where the Alien base was at very bad place
eggpod 22.681488 -422.446930 79.125000 0.000000 -145.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
overmind -465.539246 -2902.229004 -604.875000 0.000000 -137.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
barricade 26.026093 -2912.327881 -622.478699 0.000000 -8.000000 0.000000 0.058380 0.000000 0.998294 0.000000 0.000000 0.000000
reactor 1913.191284 -3650.918213 -267.875000 0.000000 16.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
drill 1943.989502 -3715.713379 -256.875000 0.000000 47.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
arm 1929.660156 -3768.177734 -260.575012 0.000000 12.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
medistat 1862.659546 -3733.241211 -271.875000 0.000000 60.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
acid_tube -31.949295 -2927.660645 -619.965454 0.000000 -42.000000 0.000000 0.058380 0.000000 0.998294 0.000000 0.000000 0.000000
eggpod -474.766449 -2341.948730 -604.875000 0.000000 137.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
acid_tube -36.307888 -2887.289795 -619.710571 0.000000 11.000000 0.000000 0.058380 0.000000 0.998294 0.000000 0.000000 0.000000
barricade 15.980843 -2798.862061 -621.891235 0.000000 -10.000000 0.000000 0.058380 0.000000 0.998294 0.000000 0.000000 0.000000
acid_tube -42.710560 -2773.354004 -619.336121 0.000000 17.000000 0.000000 0.058380 0.000000 0.998294 0.000000 0.000000 0.000000
acid_tube -42.576416 -2813.444580 -619.343994 0.000000 -21.000000 0.000000 0.058380 0.000000 0.998294 0.000000 0.000000 0.000000
telenode 1847.998901 -3538.876221 -267.875000 0.000000 97.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
telenode 1846.856445 -3448.039795 -267.875000 0.000000 -104.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
telenode 1677.055176 -3479.642090 -267.875000 0.000000 -139.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
mgturret 1755.273071 -3087.699951 -251.875000 0.000000 -140.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
mgturret 1770.949219 -3139.347900 -251.875000 0.000000 171.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
mgturret 1741.133789 -3209.801270 -251.875000 0.000000 132.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
eggpod -485.341064 -2814.009766 -604.875000 0.000000 168.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
leech -372.560242 -2922.361816 -599.875000 0.000000 -80.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
eggpod -100.855927 -2929.165527 -616.228271 0.000000 -70.000000 0.000000 0.058380 0.000000 0.998294 0.000000 0.000000 0.000000
acid_tube -525.136963 -2407.739014 -575.922546 0.000000 175.000000 0.000000 0.261078 0.205207 0.943250 0.000000 0.000000 0.000000
acid_tube -487.551331 -2719.747803 -604.875000 0.000000 -161.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
barricade -582.572266 -2406.828369 -546.291199 0.000000 -179.000000 0.000000 0.356227 0.198635 0.913040 0.000000 0.000000 0.000000
eggpod -854.911438 -2542.131836 -178.875000 0.000000 177.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
eggpod -420.096527 -2932.757812 -478.279419 0.000000 -164.000000 0.000000 0.000000 0.982872 0.184289 0.000000 0.000000 0.000000
acid_tube -369.094116 -2927.313965 -480.646332 0.000000 -144.000000 0.000000 0.000000 0.982872 0.184289 0.000000 0.000000 0.000000
leech -824.511719 -2871.563477 -266.134491 0.000000 -170.000000 0.000000 0.236006 -0.701781 0.672164 0.000000 0.000000 0.000000
leech -409.972504 -2364.381104 -599.875000 0.000000 137.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
eggpod -770.832275 -1084.475342 -648.875000 0.000000 144.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
acid_tube -911.823425 -2413.751465 -444.574768 0.000000 159.000000 0.000000 0.000000 -0.707107 0.707107 0.000000 0.000000 0.000000
mgturret 1613.446045 -3580.491699 -251.875000 0.000000 -152.000000 0.000000 0.000000 0.000000 1.000000 0.000000 -180.000000 0.000000
mgturret 1656.684570 -3638.206787 -251.875000 0.000000 -153.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
mgturret 1671.869507 -3715.741699 -251.875000 0.000000 -176.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
mgturret 1642.277100 -3814.542236 -251.875000 0.000000 -148.000000 0.000000 0.000000 0.000000 1.000000 0.000000 -180.000000 0.000000
telenode 1853.689331 -3822.178955 -267.875000 0.000000 -28.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
